Pass 1 ,,Pass 2 ,,Already QA
1656478_5_7,,1656478_5_03,,2840698_3 6 
1710254_1_3,,1710254_1_04,,2840698_4 7 
1710254_1_4,,1710254_1_03,,2840698_5 7 
1710254_2_3,,1710254_2_04,,2840698_6 5 
1710254_2_4,,1710254_2_03,,2901377_1 3 
1710254_3_4,,1710254_3_02,,2901377_2 3 
1710254_3_5,,1710254_3_04,,2901377_4 6 
1710254_3_6,,1710254_3_03,,2902023_2 6 
1710254_4_2,,1710254_4_01,,2902023_3 5 
1710254_4_4,,1710254_4_02,,2906181_1 3 
1710254_4_5,,1710254_4_03,,2906181_2 3 
1710254_4_7,,1710254_4_04,,2906181_3 5 
1912951_1_2,,1912951_1_04,,2906181_4 5 
1912951_1_3,,1912951_1_03,,2906211_1 6 
1912951_2_4,,1912951_2_02,,2920992_1 3 
1912951_2_5,,1912951_2_04,,2920992_2 3 
1912951_2_6,,1912951_2_03,,2920992_3 5 
1912951_3_4,,1912951_3_01,,2920992_5 6 
1912951_3_5,,1912951_3_02,,2923154_1 3 
1912951_3_6,,1912951_3_03,,2923154_2 3 
1912951_3_7,,1912951_3_04,,2923154_3 5 
1912951_4_4,,1912951_4_01,,2923154_5 6 
1912951_4_5,,1912951_4_02,,2923233_1 3 
1912951_4_6,,1912951_4_04,,2923233_2 3 
1912951_4_7,,1912951_4_03,,2923233_3 4 
1917602_1_2,,1917602_1_01,,2923233_4 7 
1917602_1_6,,1917602_1_04,,2923233_5 6 
1917602_2_3,,1917602_2_04,,2930146_1 3 
1917602_2_4,,1917602_2_03,,2930146_2 3 
1917602_3_5,,1917602_3_04,,2930146_3 6 
1917602_3_6,,1917602_3_03,,2930146_5 6 
1917602_3_8,,1917602_3_02,,2930407_1 3 
1917602_4_4,,1917602_4_01,,2930407_2 3 
1917602_4_5,,1917602_4_02,,2930407_3 6 
1917602_4_6,,1917602_4_03,,2930407_4 6 
1917602_4_8,,1917602_4_04,,2932015_1 3 
1917602_5_4,,1917602_5_01,,2932015_2 3 
1917602_5_5,,1917602_5_02,,2932015_3 5 
1917602_5_6,,1917602_5_03,,2932015_4 6 
1917602_5_7,,1917602_5_04,,2932015_5 6 
1924837_1_4,,1924837_1_01,,2932015_6 6 
1924837_1_5,,1924837_1_02,,2936331_1 4 
1924837_1_6,,1924837_1_04,,2936331_2 3 
1924837_1_7,,1924837_1_03,,2936331_3 5 
1939956_1_3,,1939956_1_04,,2936331_5 6 
1939956_1_4,,1939956_1_03,,2943402_1 3 
1939956_2_3,,1939956_2_04,,2943402_2 3 
1939956_2_4,,1939956_2_03,,2943402_3 5 
1939956_3_3,,1939956_3_01,,2943402_5 6 
